Ticker,2-Year Average Annual Returns,Variance of Daily Returns
SSO,0.16577686898742638,0.07643272586461261
SRLN,0.03243748566319226,0.00045966521792219916
SUB,0.013922965011313942,9.597473254683309e-05
XT,0.08910204879592308,0.022209266150442466
STIP,0.016935121869282786,0.0001564183847807721
FTEC,0.16452766707707006,0.03994008744159633
RWO,0.05371665116520088,0.012260516465240023
FEZ,0.0070507867086199915,0.02045307852304158
EWU,0.012938961263924988,0.015605194914543808
RWX,0.03435220512502479,0.010226953782295382
FTCS,0.09946474675352902,0.018185937098680098
ICF,0.09357219274262522,0.01989598087709884
SKYY,0.1922363911429782,0.032406481547886834
MOAT,0.1069738727672739,0.0178550156808677
PTLC,0.07328391610928234,0.012312115108557143
SCHC,0.004268515790113297,0.01540302880391872
FXL,0.18730664501061695,0.04808378425333864
DEM,0.07174471133621452,0.02481416759101943
RODM,0.03431144570902627,0.010543105722905852
PDBC,0.035190260519241914,0.018212299547883143
DES,0.03648367435218152,0.01978334108303801
IXJ,0.07389458036118628,0.017689968162242126
KRE,0.04358257879360829,0.0412817013901973
GVI,0.02119815972277559,0.000384478945716109
IOO,0.07569428722764852,0.018052745508518278
SLYV,0.049769512186137205,0.025087264832477228
SH,-0.07122653529842884,0.019115870599040102
ONEQ,0.11363705527142047,0.029980384818600322
IYH,0.10106821066430498,0.022850213511265812
DLN,0.08384223911015234,0.015048811082538662
VOX,-0.02798515833614459,0.029146792769109947
PRFZ,0.05125996836435114,0.02264850779707562
XSLV,0.0721725243732623,0.016242364410677574
KBE,0.0557523542366033,0.03823671074714382
FNDC,-0.009339675455228331,0.014167459526921847
SLYG,0.08583919818920265,0.026642578352108932
FLGE,0.19846252136685313,0.11117134236446578
VAW,0.03673118835852513,0.02725940136443777
PZA,0.03919749900092616,0.0008839840180142268
SPTL,0.05019678947254012,0.008109832235778058
FIHD,0.07723318463211266,0.04610404332473718
VONV,0.06404223973143149,0.01534694565601974
MGC,0.10411725112276539,0.01940974190657375
SLQD,0.023826274250544118,0.00013394513590041276
IEV,0.011094234801809467,0.015962856352101467
SDOG,0.03250371662857799,0.01719159681380319
QLD,0.2228414041903755,0.14342890647013656
RDIV,0.09306859790914035,0.01669738456489333
BSCK,0.015538304845771055,0.00016590680355569668
ITM,0.2834028470393628,0.6239412878581779
CWI,0.026367386099342166,0.015860990773002008
XOP,-0.05480519562659968,0.09185855080403534
IPE,0.024859734285592353,0.0011766276033574993
JPIN,0.002607027191885321,0.013884725958372663
DBC,0.04000372244790768,0.01780079493560851
QDF,0.06531157824611106,0.016660542715972882
RYT,0.15348942787841546,0.03495381398331288
IYF,0.10978016154983306,0.01970992937409994
GEM,0.03218172932527614,0.02867369718266929
DLS,-0.002823090479367744,0.014237048411015465
FTSL,0.026134327112137302,0.0005397659167740141
USMC,0.07109544259771994,0.01818236827402742
IGM,0.17291881660126168,0.04180107846774791
MDYG,0.07009289290525228,0.02121007590476201
FDL,0.05402507644351196,0.013012436005117332
ASHR,0.0521413429626738,0.06278154546182281
HACK,0.11831870343820956,0.0373773554808942
REET,0.06528286846649323,0.012956979258240632
SPYD,0.07631889152670127,0.01281823586229796
HYS,0.03582899606280144,0.0014975862241397835
BSCL,0.019052644629010122,0.0002454567425642902
ARKK,0.23441069380775192,0.07398767357123481
ILF,0.08913874194364087,0.05598503597484599
FHLC,0.10371518187898832,0.023087423924553156
BOTZ,0.03585997724299817,0.0428895739764612
VRP,0.020818413130783652,0.0013775902997040206
VTWO,0.06503415145625635,0.024927141567398083
USO,0.0940598644597913,0.07657466586787876
FIYY,0.04381592625615109,0.03385223486071003
FAS,0.308337496651552,0.17305158577941784
SPMD,0.059226228642656746,0.02123896256766891
KWEB,-0.025108626773879258,0.08930776743149997
PDP,0.11800919117121078,0.02450478086619178
EWA,0.07444851307362532,0.020674017354541004
FBGX,0.19768865322334897,0.10709952112478988
GSIE,0.028094122883040824,0.013633082867852784
IDEV,0.02223718510507342,0.014606194437249743
MDYV,0.04727656884716967,0.020144251851820127
PGF,0.04120471486487037,0.001582200026049028
EPI,0.05803101573633351,0.03205216587969822
DGS,0.03582447555835062,0.024636398621065692
TILT,0.0736056239155974,0.01920004747655012
ICSH,0.021326147251049154,2.6595597337125647e-05
IAGG,0.040688479630853376,0.0011445915879333352
SPHQ,0.08793697560824802,0.02128791852826715
IWY,0.13248685959930095,0.027494455146478223
XAR,0.19644266640241329,0.030264132584938947
DSI,0.10016377732481958,0.020442363588884255
SOXX,0.14552541611647196,0.06541401403275651
BBAX,0.009691388463837072,0.008688169999257152
IYG,0.1258196006799094,0.029823514144086242
USRT,0.07815716814701328,0.019810756154996865
FXU,0.031830029867732736,0.015104872433799633
FEX,0.06876018359343346,0.018866822629515074
PXF,0.007157686287409565,0.01479958451209134
PKW,0.08594868174427003,0.019851627099135013
VWOB,0.02858774291943092,0.0014352541514893872
MLPI,-0.005811777231549254,0.046161467286101196
ROBO,0.042651433980443604,0.03539104829237579
USHY,-0.05664273070422493,0.015219995588760969
RSX,0.12353508431583475,0.047002310071219744
TDTT,0.01683959569705695,0.00032848030097416017
SPSM,0.06690236637342586,0.024183134023730363
BSCM,0.02243764121513021,0.0004326775167489322
PXH,0.05957740389850048,0.02868055247239287
AOR,0.047021885178427494,0.005963610996568708
REM,0.05125809830070225,0.012053458658478053
INTF,0.014831579425913696,0.015626573467023605
GXC,0.048359253369848657,0.04829816840815874
SLY,0.06706949783133713,0.025015608951662868
CMF,0.03118226238228162,0.0005754548210780588
HYLS,0.03494751859186958,0.0011786588094833553
MJ,12.645551786601507,341.91452200457417
BSCJ,0.015602104439027695,9.990648058627178e-05
ITB,0.09717390977832109,0.04348289666839208
IYY,0.09667686707309434,0.01885671762507328
